method_A,method_B,threshold,n_scans,n_ge,pct_ge
Brainchop,CTBET,0.9,4704,4572,97.1938775510204
Brainchop,CTBET,0.95,4704,4166,88.56292517006803
Brainchop,CTBET,0.97,4704,1019,21.662414965986397
Brainchop,CT_BET,0.9,2399,2356,98.20758649437266
Brainchop,CT_BET,0.95,2399,2014,83.95164651938308
Brainchop,CT_BET,0.97,2399,333,13.880783659858272
Brainchop,CTbet_Docker,0.9,4704,4679,99.46853741496598
Brainchop,CTbet_Docker,0.95,4704,4399,93.51615646258503
Brainchop,CTbet_Docker,0.97,4704,1657,35.22534013605442
Brainchop,HD-CTBET,0.9,4704,4673,99.34098639455783
Brainchop,HD-CTBET,0.95,4704,3709,78.84778911564626
Brainchop,HD-CTBET,0.97,4704,35,0.744047619047619
Brainchop,Robust-CTBET,0.9,4704,4662,99.10714285714286
Brainchop,Robust-CTBET,0.95,4704,4323,91.90051020408163
Brainchop,Robust-CTBET,0.97,4704,1440,30.612244897959183
Brainchop,SynthStrip,0.9,4704,4544,96.5986394557823
Brainchop,SynthStrip,0.95,4704,3553,75.53146258503402
Brainchop,SynthStrip,0.97,4704,488,10.374149659863946
CTBET,CT_BET,0.9,2399,2323,96.83201333889122
CTBET,CT_BET,0.95,2399,2258,94.12255106294289
CTBET,CT_BET,0.97,2399,2197,91.57982492705294
CTBET,CTbet_Docker,0.9,4704,4627,98.36309523809523
CTBET,CTbet_Docker,0.95,4704,4578,97.32142857142857
CTBET,CTbet_Docker,0.97,4704,4513,95.93962585034014
CTBET,HD-CTBET,0.9,4704,4590,97.5765306122449
CTBET,HD-CTBET,0.95,4704,3228,68.62244897959184
CTBET,HD-CTBET,0.97,4704,4,0.08503401360544217
CTBET,Robust-CTBET,0.9,4704,4630,98.42687074829932
CTBET,Robust-CTBET,0.95,4704,4593,97.64030612244898
CTBET,Robust-CTBET,0.97,4704,4559,96.91751700680273
CTBET,SynthStrip,0.9,4704,4440,94.38775510204081
CTBET,SynthStrip,0.95,4704,2345,49.851190476190474
CTBET,SynthStrip,0.97,4704,2,0.04251700680272109
CT_BET,CTbet_Docker,0.9,2399,2393,99.74989578991247
CT_BET,CTbet_Docker,0.95,2399,2366,98.62442684451855
CT_BET,CTbet_Docker,0.97,2399,2307,96.16506877865777
CT_BET,HD-CTBET,0.9,2399,2382,99.29137140475198
CT_BET,HD-CTBET,0.95,2399,1224,51.02125885785745
CT_BET,HD-CTBET,0.97,2399,1,0.041684035014589414
CT_BET,Robust-CTBET,0.9,2399,2392,99.70821175489787
CT_BET,Robust-CTBET,0.95,2399,2356,98.20758649437266
CT_BET,Robust-CTBET,0.97,2399,2312,96.37348895373073
CT_BET,SynthStrip,0.9,2399,2274,94.78949562317632
CT_BET,SynthStrip,0.95,2399,946,39.43309712380159
CT_BET,SynthStrip,0.97,2399,1,0.041684035014589414
CTbet_Docker,HD-CTBET,0.9,4704,4703,99.97874149659864
CTbet_Docker,HD-CTBET,0.95,4704,3572,75.93537414965986
CTbet_Docker,HD-CTBET,0.97,4704,5,0.10629251700680273
CTbet_Docker,Robust-CTBET,0.9,4704,4699,99.8937074829932
CTbet_Docker,Robust-CTBET,0.95,4704,4688,99.65986394557824
CTbet_Docker,Robust-CTBET,0.97,4704,4653,98.91581632653062
CTbet_Docker,SynthStrip,0.9,4704,4559,96.91751700680273
CTbet_Docker,SynthStrip,0.95,4704,2755,58.56717687074829
CTbet_Docker,SynthStrip,0.97,4704,10,0.21258503401360546
HD-CTBET,Robust-CTBET,0.9,4704,4691,99.7236394557823
HD-CTBET,Robust-CTBET,0.95,4704,3731,79.31547619047619
HD-CTBET,Robust-CTBET,0.97,4704,4,0.08503401360544217
HD-CTBET,SynthStrip,0.9,4704,4564,97.02380952380952
HD-CTBET,SynthStrip,0.95,4704,3951,83.99234693877551
HD-CTBET,SynthStrip,0.97,4704,805,17.113095238095237
Robust-CTBET,SynthStrip,0.9,4704,4546,96.64115646258503
Robust-CTBET,SynthStrip,0.95,4704,2617,55.63350340136054
Robust-CTBET,SynthStrip,0.97,4704,8,0.17006802721088435
